ErrorRate,Features,Selector
0.550561797752809,ground,BIC
0.6292134831460674,ground,CV
0.5786516853932584,ground,DIC
0.6123595505617978,norm,BIC
0.6179775280898876,norm,CV
0.6235955056179775,norm,DIC
0.5393258426966292,polar,BIC
0.550561797752809,polar,CV
0.550561797752809,polar,DIC
0.6067415730337079,delta,BIC
0.5955056179775281,delta,CV
0.6292134831460674,delta,DIC
1.0,custom,BIC
1.0,custom,CV
1.0,custom,DIC
